El Centro_EW
0.000000	0.00000000e+00
0.000000	0.00000000e+00
0.020000	2.58499989e-03
0.040000	2.10499996e-03
0.060000	1.62000000e-03
0.080000	1.13500003e-03
0.100000	8.39999993e-04
0.120000	2.23500002e-03
0.140000	3.62499990e-03
0.160000	3.56999994e-03
0.180000	2.33000005e-03
0.200000	1.09000003e-03
0.220000	-1.50000007e-04
0.240000	2.41500000e-03
0.260000	4.98500001e-03
0.280000	7.13999989e-03
0.300000	5.55999996e-03
0.320000	3.92499985e-03
0.340000	2.31999997e-03
0.360000	7.14999973e-04
0.380000	-8.95000005e-04
0.400000	-1.23499997e-03
0.420000	2.24000006e-03
0.440000	5.71000017e-03
0.460000	8.67000036e-03
0.480000	2.14000000e-03
0.500000	-4.38500009e-03
0.520000	-1.09099997e-02
0.540000	-5.20000001e-03
0.560000	4.18999977e-03
0.580000	5.00999996e-03
0.600000	6.07000012e-03
0.620000	9.27999988e-03
0.640000	1.24899996e-02
0.660000	1.46350004e-02
0.680000	7.18999980e-03
0.700000	5.24999993e-03
0.720000	5.08000003e-03
0.740000	4.92000021e-03
0.760000	1.72499998e-03
0.780000	-3.95999989e-03
0.800000	-9.63499956e-03
0.820000	-1.61150005e-02
0.840000	-1.69300009e-02
0.860000	-1.92750003e-02
0.880000	-2.52899993e-02
0.900000	-3.07449996e-02
0.920000	-2.64100004e-02
0.940000	-2.21299995e-02
0.960000	-1.78449992e-02
0.980000	-1.35100000e-02
1.000000	-1.84049997e-02
1.020000	-2.38099992e-02
1.040000	-2.92700008e-02
1.060000	-3.51850018e-02
1.080000	-4.11499999e-02
1.100000	-3.87500003e-02
1.120000	-3.48250009e-02
1.140000	-2.59550009e-02
1.159999	-2.14150008e-02
1.179999	-1.26449997e-02
1.199999	1.56049998e-02
1.219999	4.39000018e-02
1.239999	3.43649983e-02
1.259999	2.28450000e-02
1.279999	1.13700004e-02
1.299999	3.15000012e-04
1.319999	-8.87000002e-03
1.339999	-1.80500001e-02
1.359999	-2.72300001e-02
1.379999	-3.76800001e-02
1.399999	-5.09900004e-02
1.419999	-6.47550002e-02
1.439999	-7.80149996e-02
1.459999	-8.26049969e-02
1.479999	-6.67949989e-02
1.499999	-5.15000001e-02
1.519999	-4.59900014e-02
1.539999	-4.94100004e-02
1.559999	-4.79299985e-02
1.579999	-4.64500003e-02
1.599999	-5.30299991e-02
1.619999	-6.06749989e-02
1.639999	-4.02299985e-02
1.659999	4.69599999e-02
1.679999	1.19824998e-01
1.699999	1.10134996e-01
1.719999	1.00960001e-01
1.739999	9.17799994e-02
